venuename,teams,year,totalcost,publiccost,totalcost2020,publiccost2020,pubpct100,stadium,arena,source
Boston Arena,Boston Celtics & Bruins,1909,,,,,,0,1,Long (2013)
Forbes Field,Pittsburgh Pirates & Steelers,1909,2,0,52.279999,0,0,1,0,"Long (2013), Benson (1989)"
Shibe Park,Philadelphia Athletics & Eagles,1909,.30000001,0,7.8420005,0,0,1,0," Long (2013), https://www.ballparksofbaseball.com/ballparks/shibe-park/"
Sportsman's Park*,St. Louis Browns & Cardinals (MLB & NFL),1909,,,,,,1,0,Long (2013)
Comiskey Park,Chicago White Sox & Cardinals (NFL),1910,.69999999,0,19.605,0,0,1,0,"Benson (1989), Long (2013)"
League Park*,Cleveland Indians,1910,,,,,,1,0,Long (2013)
Griffith Stadium,Washington Senators & Redskins,1911,,,,,,1,0,Long (2013)
Mutual Street Arena,Toronto Maple Leafs,1911,,,,,,0,1,Long (2013)
Polo Grounds,New York Giants (MLB & NFL) & Yankees & Jets,1911,,,,,,1,0,Long (2013)
Crosley Field,Cincinnati Reds,1912,.22499999,0,5.8814998,0,0,1,0,"Long (2013), Benson(1989)"
Fenway Park,Boston Red Sox,1912,.64999998,0,16.990999,0,0,1,0,"Long (2013), https://sabr.org/bioproj/park/fenway-park-boston/"
Tiger Stadium,Detroit Tigers,1912,.5,0,13.07,0,0,1,0,"Long (2013), Benson (1989)"
Ebbets Field,Brooklyn Dodgers,1913,.75,0,19.605,0,0,1,0,"Long (2013), Benson (1989)"
Wrigley Field,Chicago Cubs & Bears & Cardinals (NFL),1914,.25,0,6.4699998,0,0,1,0,"Long (2013), Benson (1989),  https://www.venuesnow.com/wp-content/uploads/2019/04/02-19-Wrigley-Field-Spotlight.pdf"
Braves Field,Boston Braves,1915,.60000002,0,,,0,1,0,"Long (2013), https://sabr.org/bioproj/park/braves-field-boston/"
Kezar Staium,San Francisco 49ers & Oakland Raiders,1922,.30000001,0,4.6230001,0,0,1,0,"Long (2013), http://football.ballparks.com/NFL/SanFrancisco49ers/oldindex.htm"
Franklin Field,Philadelphia Eagles,1923,,,,,,1,0,Long (2013)
Los Angeles Coliseum,Los Angeles Rams & Raiders,1923,.95499998,.95499998,14.4587,14.4587,100,1,0,Long (2013)
Municipal Stadium,Kansas City Athletics & Chiefs,1923,.40000001,0,6.0560002,0,0,1,0,"Long (2013), Benson (1989)"
Yankee Stadium,New York Yankees & Giants (NFL),1923,2.5,0,37.849998,0,0,1,0,"Long (2013), Benson (1989)"
Soldier Field,Chicago Bears,1924,10,10,151.39999,151.39999,100,1,0,"Long (2013), https://chicago.suntimes.com/city-hall/2021/9/22/22688000/soldier-field-chicago-bears-dome-roof-arlington-heights-nfl-football"
Pitt Stadium,Pittsburgh Steelers,1925,,,,,,1,0,Long (2013)
Madison Square Garden,New York Knicks & Rangers & Americans,1926,,,,,,0,1,Long (2013)
Montreal Forum,Montreal Canadiens,1926,1,0,14.62,0,0,0,1,Long (2013)
Tulane Stadium,New Orleans Saints,1926,,,,,,1,0,Long (2013)
